('BTN_TL2', 312L)
('BTN_TR2', 313L)
('BTN_SELECT', 314L)
('BTN_START', 315L)
('BTN_MODE', 316L)
('BTN_THUMBL', 317L)
('BTN_THUMBR', 318L)
(['BTN_DIGI', 'BTN_TOOL_PEN'], 320L)
('BTN_TOOL_RUBBER', 321L)
('BTN_TOOL_BRUSH', 322L)
('BTN_TOOL_PENCIL', 323L)
('BTN_TOOL_AIRBRUSH', 324L)
('BTN_TOOL_FINGER', 325L)
('BTN_TOOL_MOUSE', 326L)
('BTN_TOOL_LENS', 327L)
('BTN_TOOL_QUINTTAP', 328L)
('BTN_TOUCH', 330L)
('BTN_STYLUS', 331L)
('BTN_STYLUS2', 332L)
('BTN_TOOL_DOUBLETAP', 333L)
('BTN_TOOL_TRIPLETAP', 334L)
('BTN_TOOL_QUADTAP', 335L)
(['BTN_GEAR_DOWN', 'BTN_WHEEL'], 336L)
('BTN_GEAR_UP', 337L)
('KEY_OK', 352L)
('KEY_SELECT', 353L)
('KEY_GOTO', 354L)
('KEY_CLEAR', 355L)
('KEY_POWER2', 356L)
('KEY_OPTION', 357L)
('KEY_INFO', 358L)
('KEY_TIME', 359L)
('KEY_VENDOR', 360L)
('KEY_ARCHIVE', 361L)
('KEY_PROGRAM', 362L)
('KEY_CHANNEL', 363L)
('KEY_FAVORITES', 364L)
('KEY_EPG', 365L)
('KEY_PVR', 366L)
('KEY_MHP', 367L)
('KEY_LANGUAGE', 368L)
('KEY_TITLE', 369L)
('KEY_SUBTITLE', 370L)
('KEY_ANGLE', 371L)
('KEY_ZOOM', 372L)
('KEY_MODE', 373L)
('KEY_KEYBOARD', 374L)
('KEY_SCREEN', 375L)
('KEY_PC', 376L)
('KEY_TV', 377L)
('KEY_TV2', 378L)
('KEY_VCR', 379L)
('KEY_VCR2', 380L)
('KEY_SAT', 381L)
('KEY_SAT2', 382L)
('KEY_CD', 383L)
('KEY_TAPE', 384L)
('KEY_RADIO', 385L)
('KEY_TUNER', 386L)
('KEY_PLAYER', 387L)
('KEY_TEXT', 388L)
('KEY_DVD', 389L)
('KEY_AUX', 390L)
('KEY_MP3', 391L)
('KEY_AUDIO', 392L)
('KEY_VIDEO', 393L)
('KEY_DIRECTORY', 394L)
('KEY_LIST', 395L)
('KEY_MEMO', 396L)
('KEY_CALENDAR', 397L)
('KEY_RED', 398L)
('KEY_GREEN', 399L)
('KEY_YELLOW', 400L)
('KEY_BLUE', 401L)
('KEY_CHANNELUP', 402L)
('KEY_CHANNELDOWN', 403L)
('KEY_FIRST', 404L)
('KEY_LAST', 405L)
('KEY_AB', 406L)
('KEY_NEXT', 407L)
('KEY_RESTART', 408L)
('KEY_SLOW', 409L)
('KEY_SHUFFLE', 410L)
('KEY_BREAK', 411L)
('KEY_PREVIOUS', 412L)
('KEY_DIGITS', 413L)
('KEY_TEEN', 414L)
('KEY_TWEN', 415L)
('KEY_VIDEOPHONE', 416L)
('KEY_GAMES', 417L)
('KEY_ZOOMIN', 418L)
('KEY_ZOOMOUT', 419L)
('KEY_ZOOMRESET', 420L)
('KEY_WORDPROCESSOR', 421L)
('KEY_EDITOR', 422L)
('KEY_SPREADSHEET', 423L)
('KEY_GRAPHICSEDITOR', 424L)
('KEY_PRESENTATION', 425L)
('KEY_DATABASE', 426L)
('KEY_NEWS', 427L)
('KEY_VOICEMAIL', 428L)
('KEY_ADDRESSBOOK', 429L)
('KEY_MESSENGER', 430L)
(['KEY_BRIGHTNESS_TOGGLE', 'KEY_DISPLAYTOGGLE'], 431L)
('KEY_SPELLCHECK', 432L)
('KEY_LOGOFF', 433L)
('KEY_DOLLAR', 434L)
('KEY_EURO', 435L)
('KEY_FRAMEBACK', 436L)
('KEY_FRAMEFORWARD', 437L)
('KEY_CONTEXT_MENU', 438L)
('KEY_MEDIA_REPEAT', 439L)
('KEY_10CHANNELSUP', 440L)
('KEY_10CHANNELSDOWN', 441L)
('KEY_IMAGES', 442L)
('KEY_DEL_EOL', 448L)
('KEY_DEL_EOS', 449L)
('KEY_INS_LINE', 450L)
('KEY_DEL_LINE', 451L)
('KEY_FN', 464L)
('KEY_FN_ESC', 465L)
('KEY_FN_F1', 466L)
('KEY_FN_F2', 467L)
('KEY_FN_F3', 468L)
('KEY_FN_F4', 469L)
('KEY_FN_F5', 470L)
('KEY_FN_F6', 471L)
('KEY_FN_F7', 472L)
('KEY_FN_F8', 473L)
('KEY_FN_F9', 474L)
('KEY_FN_F10', 475L)
('KEY_FN_F11', 476L)
('KEY_FN_F12', 477L)
('KEY_FN_1', 478L)
('KEY_FN_2', 479L)
('KEY_FN_D', 480L)
('KEY_FN_E', 481L)
('KEY_FN_F', 482L)
('KEY_FN_S', 483L)
('KEY_FN_B', 484L)
('KEY_BRL_DOT1', 497L)
('KEY_BRL_DOT2', 498L)
('KEY_BRL_DOT3', 499L)
('KEY_BRL_DOT4', 500L)
('KEY_BRL_DOT5', 501L)
('KEY_BRL_DOT6', 502L)
('KEY_BRL_DOT7', 503L)
('KEY_BRL_DOT8', 504L)
('KEY_BRL_DOT9', 505L)
('KEY_BRL_DOT10', 506L)
('KEY_NUMERIC_0', 512L)
('KEY_NUMERIC_1', 513L)
('KEY_NUMERIC_2', 514L)
('KEY_NUMERIC_3', 515L)
('KEY_NUMERIC_4', 516L)
('KEY_NUMERIC_5', 517L)
('KEY_NUMERIC_6', 518L)
('KEY_NUMERIC_7', 519L)
